pdb_id,confidence score
T1180-D1_A_306_309,98.19159698486328
T1129s2-D1_A_489_492,48.14195251464844
T1180-D1_A_93_96,87.64766693115234
T1157s1-D2_A_1016_1019,76.35649871826172
T1133-D1_A_37_40,85.17725372314453
T1150-D1_A_238_241,93.19451904296875
T1157s1-D1_A_33_36,43.476322174072266
T1129s2-D1_A_621_624,63.140785217285156
T1106s2-D1_A_74_77,85.2835464477539
T1170-D1_A_134_137,53.25827407836914
T1188-D1_A_150_153,143.68215942382812
T1133-D1_A_55_58,77.36967468261719
T1145-D2_A_533_536,95.91648864746094
T1129s2-D1_A_304_307,79.7567367553711
T1120-D1_A_58_61,47.85795211791992
T1194-D1_A_121_124,64.98883056640625
T1188-D1_A_551_554,70.54320526123047
T1170-D1_A_123_126,23.51698875427246
T1137s9-D1_A_157_160,108.66414642333984
T1124-D1_A_71_74,106.18196868896484
T1188-D1_A_209_212,90.02651977539062
T1157s1-D1_A_611_614,75.2794189453125
T1170-D1_A_182_185,81.463134765625
T1109-D1_A_40_43,79.01470947265625
T1194-D1_A_61_64,91.54719543457031
T1170-D1_A_155_158,80.11528778076172
T1188-D1_A_412_415,126.37336730957031
T1120-D1_A_50_53,59.20096969604492
T1124-D1_A_355_358,73.66886138916016
T1121-D1_A_68_72,32.32212829589844
T1188-D1_A_428_432,48.41326904296875
T1133-D1_A_114_118,101.16960144042969
T1157s2-D2_A_152_156,84.17327117919922
T1137s4-D1_A_141_145,58.34648513793945
T1180-D1_A_387_391,58.64158248901367
T1123-D1_A_96_100,49.70390701293945
T1109-D1_A_205_209,47.80376052856445
T1157s2-D2_A_133_137,80.81806945800781
T1137s7-D1_A_68_72,73.60089874267578
T1157s2-D2_A_253_257,81.36511993408203
T1133-D1_A_28_32,72.40983581542969
T1157s1-D1_A_290_294,80.44999694824219
T1145-D2_A_444_448,81.79662322998047
T1157s1-D1_A_434_438,101.48277282714844
T1180-D1_A_235_239,84.49688720703125
T1145-D2_A_385_389,64.8946533203125
T1137s7-D1_A_198_202,88.75464630126953
T1157s1-D1_A_389_393,98.64173889160156
T1145-D2_A_621_625,79.10824584960938
T1137s4-D3_A_403_407,84.58152770996094
T1145-D2_A_331_335,45.9813232421875
T1109-D1_A_153_157,85.2767562866211
T1188-D1_A_120_125,90.1190414428711
T1129s2-D1_A_369_374,38.225425720214844
T1137s5-D1_A_100_105,98.0951919555664
T1145-D2_A_606_611,72.73193359375
T1157s2-D3_A_427_432,76.25934600830078
T1145-D2_A_509_514,90.7168197631836
T1137s7-D1_A_52_57,61.006935119628906
T1157s2-D1_A_89_94,92.04499053955078
T1157s1-D1_A_301_306,77.32451629638672
T1157s1-D1_A_102_107,80.0679931640625
T1157s2-D2_A_169_174,129.54205322265625
T1139-D1_A_255_260,66.97713470458984
T1129s2-D1_A_456_462,50.55195617675781
T1150-D1_A_118_124,109.69852447509766
T1139-D1_A_274_280,74.95585632324219
T1188-D1_A_470_476,55.18904113769531
T1133-D1_A_333_339,68.81500244140625
T1133-D1_A_20_26,55.16006088256836
T1150-D1_A_196_202,81.45697021484375
T1129s2-D1_A_511_518,111.57974243164062
T1137s4-D1_A_107_114,61.101322174072266
T1137s1-D1_A_129_136,68.18148803710938
T1137s5-D1_A_128_135,62.28614044189453
T1123-D1_A_131_138,74.85003662109375
T1124-D1_A_113_120,80.29560089111328
T1188-D1_A_350_357,79.02430725097656
T1145-D2_A_291_299,73.74457550048828
T1124-D1_A_188_196,129.49839782714844
T1137s5-D2_A_327_335,71.864501953125
T1129s2-D1_A_524_532,95.66156005859375
T1139-D1_A_111_119,87.41917419433594
T1133-D1_A_377_385,61.05436325073242
T1145-D1_A_27_35,67.75000762939453
T1137s4-D3_A_435_444,67.01624298095703
T1137s7-D1_A_128_137,118.27330780029297
T1137s6-D1_A_48_57,75.72740173339844
T1150-D1_A_176_185,112.49785614013672
T1137s7-D1_A_87_97,104.54689025878906
T1157s1-D1_A_276_286,110.29808044433594
T1121-D1_A_165_177,72.7890625
T1188-D1_A_256_269,100.2104263305664
T1137s2-D2_A_300_313,65.12053680419922
T1139-D1_A_145_159,94.0565185546875
T1157s1-D3_A_801_815,36.83110046386719
T1187-D1_A_101_115,65.08430480957031
T1188-D1_A_80_96,69.85792541503906
T1157s1-D1_A_145_167,92.158935546875
